id;creation_date;title;image;image_content_type
1;2021-02-10T16:01:22;Persistent syndicate Sleek;../fake-data/blob/hipster.png;image/png
2;2021-02-10T10:13:16;Metrics Berkshire Savings Account;../fake-data/blob/hipster.png;image/png
3;2021-02-10T15:12:11;Assurance;../fake-data/blob/hipster.png;image/png
4;2021-02-10T18:03:53;reboot paradigms;../fake-data/blob/hipster.png;image/png
5;2021-02-09T22:32:36;Wisconsin Licensed leading edge;../fake-data/blob/hipster.png;image/png
6;2021-02-10T04:00:34;Saint Martin hack;../fake-data/blob/hipster.png;image/png
7;2021-02-10T06:16:38;Investment Account;../fake-data/blob/hipster.png;image/png
8;2021-02-10T06:18:58;Canyon transmit;../fake-data/blob/hipster.png;image/png
9;2021-02-10T20:06:36;Checking Account quantifying task-force;../fake-data/blob/hipster.png;image/png
10;2021-02-10T03:20:03;deposit repurpose;../fake-data/blob/hipster.png;image/png
