id;creation_date;notification_date;notification_reason;notification_text;is_delivered
1;2021-02-10T11:57:14;2021-02-10T19:52:47;UNAUTHORIZE_COMMUNITY_FOLLOWER;Jewelery;true
2;2021-02-10T18:50:48;2021-02-10T04:51:44;FOLLOWER_STATUS;purple Shores transmitting;false
3;2021-02-10T01:49:39;2021-02-10T13:47:24;UNAUTHORIZE_COMMUNITY_FOLLOWER;payment;true
4;2021-02-10T06:56:54;2021-02-10T06:28:07;FOLLOWER_STATUS;partnerships Forges Specialist;true
5;2021-02-09T22:38:43;2021-02-10T17:52:45;UNFOLLOWING;mindshare;true
6;2021-02-10T12:09:01;2021-02-10T01:42:17;UNAUTHORIZE_COMMUNITY_FOLLOWER;Investment Account Health;true
7;2021-02-10T14:07:58;2021-02-10T04:33:22;PROPOSAL_RELEASED;AGP Table;true
8;2021-02-10T07:59:43;2021-02-09T23:24:21;AUTHORIZE_COMMUNITY_FOLLOWER;Ameliorated;true
9;2021-02-09T22:16:23;2021-02-10T18:21:19;UNAUTHORIZE_COMMUNITY_FOLLOWER;non-volatile;false
10;2021-02-10T03:29:12;2021-02-10T13:50:47;FOLLOWING;withdrawal Pataca Checking Account;false
