id;creation_date;url_vanswer;accepted;vquestion_id
1;2021-02-10T04:46:33;Washington;true;1
2;2021-02-10T17:10:34;firewall;true;2
3;2021-02-10T12:08:03;function;true;3
4;2021-02-10T16:04:35;Cotton;true;4
5;2021-02-10T04:57:57;Soft Brunei Darussalam Fantastic Concrete Chips;false;5
6;2021-02-10T10:49:06;Customer;false;6
7;2021-02-09T22:13:21;South Georgia and the South Sandwich Islands;true;7
8;2021-02-10T15:47:01;Toys Legacy Cambridgeshire;true;8
9;2021-02-10T09:27:16;reboot;true;9
10;2021-02-10T20:18:47;Lithuania;true;10
